attributes_LONGITUDE,attributes_LATITUDE,attributes_OFFENSE
-76.9739837701,38.8510332388,ASSAULT W/DANGEROUS WEAPON
-76.9355193145,38.9103199343,THEFT F/AUTO
-77.0253783465,38.9413416569,THEFT/OTHER
-77.0404683792,38.9140925733,THEFT F/AUTO
-77.0645811,38.9126540026,THEFT F/AUTO
-77.0436069637,38.9099274291,THEFT/OTHER
-77.0436069637,38.9099274291,THEFT/OTHER
-76.9115452473,38.8945696766,MOTOR VEHICLE THEFT
-77.0332543444,38.9096515756,THEFT F/AUTO
-77.0297253272,38.9334670206,ROBBERY
-76.9920854122,38.9002005148,MOTOR VEHICLE THEFT
-77.0619979449,38.905185411,THEFT/OTHER
-77.0274253467,38.9680823234,THEFT/OTHER
-76.9668555006,38.9335424915,ASSAULT W/DANGEROUS WEAPON
-77.0288567213,38.8998143637,THEFT/OTHER
-77.0245692132,38.8838828674,THEFT F/AUTO
-76.9769899359,38.8989945496,ASSAULT W/DANGEROUS WEAPON
-77.0219151997,38.9003415999,MOTOR VEHICLE THEFT
-77.026514333,38.8983152971,BURGLARY
-77.0681648844,38.9162259346,THEFT/OTHER
-77.0058844882,38.9060439932,THEFT/OTHER
-77.0015071603,38.9255936547,BURGLARY
-76.9781838881,38.870743237,BURGLARY
-77.0384829238,38.9129805342,THEFT/OTHER
-77.0050157617,38.8764812582,MOTOR VEHICLE THEFT
-77.0259828098,38.9408067019,THEFT F/AUTO
-77.0212847673,38.923682323,THEFT F/AUTO
-76.9827155922,38.9164774036,THEFT/OTHER
-77.038500933,38.9056519701,THEFT F/AUTO
-76.9718649128,38.8747508869,ROBBERY
-77.027574841,38.8948775498,MOTOR VEHICLE THEFT
-77.0005702437,38.9218324194,THEFT/OTHER
-76.9414128252,38.8918909182,MOTOR VEHICLE THEFT
-77.0121267512,38.8980510291,THEFT/OTHER
-77.0587322445,38.9105226525,THEFT/OTHER
-77.0054599094,38.9125974035,THEFT/OTHER
-77.0176347386,38.8778666066,THEFT/OTHER
-76.9836475096,38.8963897322,THEFT F/AUTO
-77.0353474758,38.9241160894,THEFT/OTHER
-76.9332371122,38.9014829636,THEFT/OTHER
-76.975575352,38.8710525047,THEFT/OTHER
-76.9973063877,38.9013258056,THEFT/OTHER
-77.0090212692,38.8206698736,ASSAULT W/DANGEROUS WEAPON
-77.024583415,38.938148387,THEFT/OTHER
-76.9967932166,38.8432697064,ASSAULT W/DANGEROUS WEAPON
-77.033639334,38.9287433544,MOTOR VEHICLE THEFT
-77.0111885512,38.8954551825,THEFT F/AUTO
-77.036006458,38.9175688178,THEFT F/AUTO
-76.9150397725,38.893683511,ROBBERY
-77.0229457261,38.917236462,MOTOR VEHICLE THEFT
-77.0142431775,38.9126017076,MOTOR VEHICLE THEFT
-77.0619605582,38.903422496,THEFT F/AUTO
-76.952663139,38.9205357239,THEFT F/AUTO
-77.0349909598,38.9077794046,THEFT F/AUTO
-77.0499774104,38.9025259599,THEFT F/AUTO
-77.0364793371,38.9279218452,THEFT/OTHER
-76.9495151233,38.861593807,ROBBERY
-76.9920852879,38.9013210644,MOTOR VEHICLE THEFT
-77.0405812094,38.8992061481,THEFT/OTHER
-77.0106188799,38.9002074169,THEFT/OTHER
-77.0014099257,38.9072354869,BURGLARY
-76.9385860009,38.8911251955,THEFT/OTHER
-76.9794323764,38.9062031301,THEFT F/AUTO
-76.9311626569,38.8985259362,THEFT/OTHER
-76.9995137508,38.8849036694,THEFT/OTHER
-76.999893927,38.8316338907,BURGLARY
-77.0283749647,38.9247520859,THEFT F/AUTO
-77.014324859,38.9748378665,THEFT/OTHER
-76.9305976021,38.891883605,MOTOR VEHICLE THEFT
-76.9906950399,38.8636056414,THEFT F/AUTO
-77.0327298633,38.9295168861,MOTOR VEHICLE THEFT
-77.0275516322,38.9667103382,MOTOR VEHICLE THEFT
-77.0436069637,38.9099274291,THEFT/OTHER
-76.9902461199,38.8834726857,THEFT/OTHER
-77.0783859624,38.9324226132,THEFT/OTHER
-76.9589538303,38.8654048947,THEFT F/AUTO
-77.0131109228,38.9007593761,THEFT/OTHER
-77.0206447138,38.9196078832,MOTOR VEHICLE THEFT
-76.9625331153,38.9187067412,THEFT/OTHER
-77.016652162,38.9159453732,THEFT/OTHER
-76.9931990491,38.9025111383,THEFT F/AUTO
-76.9860296578,38.9142137824,THEFT F/AUTO
-77.0474286795,38.9155489454,THEFT/OTHER
-76.9855036794,38.8981203036,THEFT/OTHER
-77.0365229839,38.9100127349,THEFT F/AUTO
-77.0307875618,38.9126087891,THEFT/OTHER
-76.9843681507,38.8798519811,MOTOR VEHICLE THEFT
-76.9926428395,38.9467820313,THEFT/OTHER
-76.9845796595,38.8909297966,THEFT F/AUTO
-77.0829525541,38.9322601944,THEFT/OTHER
-77.0289654523,38.9583499777,ASSAULT W/DANGEROUS WEAPON
-77.005877691,38.8779673826,MOTOR VEHICLE THEFT
-76.9784090744,38.8992501174,ASSAULT W/DANGEROUS WEAPON
-77.0307870742,38.9133488242,BURGLARY
-76.9881707619,38.9030470047,THEFT/OTHER
-76.9937647391,38.8853090282,THEFT F/AUTO
-76.9973103688,38.8935805056,THEFT F/AUTO
-77.0245165376,38.9274781547,THEFT/OTHER
-76.972066947,38.8741198069,ROBBERY
-77.0275516322,38.9667103382,THEFT F/AUTO
-76.9892726231,38.8995496166,THEFT F/AUTO
-77.0270387754,38.924265503,MOTOR VEHICLE THEFT
-77.0394646728,38.9210073508,THEFT F/AUTO
-77.0896225038,38.9479076347,THEFT F/AUTO
-76.9781908519,38.8726340762,MOTOR VEHICLE THEFT
-76.9920872137,38.8849482987,THEFT/OTHER
-76.9150392629,38.8965217898,MOTOR VEHICLE THEFT
-76.9869062421,38.9001986979,THEFT/OTHER
-76.9672621973,38.8707448833,THEFT F/AUTO
-77.0582271452,38.9115424695,THEFT F/AUTO
-76.9998881546,38.8257631909,THEFT/OTHER
-77.0412984333,38.921616941,ROBBERY
-76.9960140953,38.8477849837,BURGLARY
-76.9789933305,38.8892353053,MOTOR VEHICLE THEFT
-77.0341820426,38.9551509959,THEFT F/AUTO
-76.9226472755,38.8864287582,MOTOR VEHICLE THEFT
-77.0020385991,38.906438329,BURGLARY
-77.0763579913,38.9649036686,BURGLARY
-76.9675340373,38.8600550644,THEFT/OTHER
-77.0005813062,38.8779648214,THEFT/OTHER
-77.0543832497,38.9434437545,THEFT F/AUTO
-77.0264921407,38.9804170595,THEFT F/AUTO
-76.9860721669,38.8675821391,THEFT/OTHER
-76.9986005147,38.9098515103,THEFT/OTHER
-77.021548524,38.9161135692,THEFT/OTHER
-77.0626096072,38.9442490325,THEFT/OTHER
-76.986365316,38.9099627869,ASSAULT W/DANGEROUS WEAPON
-77.0297253272,38.9334670206,MOTOR VEHICLE THEFT
-77.0074918952,38.907238228,THEFT F/AUTO
-76.9903059701,38.9201570109,THEFT/OTHER
-77.001404167,38.907539879,THEFT/OTHER
-77.0151784493,38.9134018906,ROBBERY
-77.004424394,38.918407732,THEFT F/AUTO
-76.9967907619,38.9055641325,THEFT/OTHER
-76.9761048208,38.8494166901,HOMICIDE
-77.0227371295,38.9360400986,MOTOR VEHICLE THEFT
-77.0840729441,38.9575252968,ROBBERY
-77.0172009234,38.9045210947,THEFT/OTHER
-77.0176347386,38.8778666066,THEFT/OTHER
-77.0239664272,38.9079088435,THEFT F/AUTO
-76.932711419,38.8987906035,THEFT/OTHER
-76.9955767005,38.9323665691,BURGLARY
-77.0209056408,38.9018118587,THEFT/OTHER
-77.0121577792,38.9137144728,MOTOR VEHICLE THEFT
-77.0265265073,38.9003636152,THEFT/OTHER
-77.0209062352,38.8947928136,THEFT/OTHER
-77.0068065293,38.9500980115,THEFT F/AUTO
-77.0090637467,38.9031222915,THEFT F/AUTO
-77.0296239384,38.9079076361,THEFT F/AUTO
-77.0326615282,38.9616139564,THEFT F/AUTO
-77.0192758136,38.9157233649,THEFT F/AUTO
-76.9985005897,38.9080326343,THEFT/OTHER
-77.0259863348,38.9049076407,THEFT/OTHER
-77.0799373128,38.9483570552,THEFT/OTHER
-77.0321315351,38.9236352529,MOTOR VEHICLE THEFT
-77.0338114933,38.930634149,THEFT/OTHER
-77.0308005012,38.8961142231,THEFT/OTHER
-77.0012939078,38.9245106774,THEFT/OTHER
-77.044180238,38.9004549325,THEFT/OTHER
-77.0497805276,38.8883558825,THEFT/OTHER
-77.0020390941,38.8995581088,MOTOR VEHICLE THEFT
-77.031216943,38.9386778427,BURGLARY
-77.0121578837,38.9129746181,THEFT/OTHER
-77.0175499408,38.9037338029,THEFT/OTHER
-77.0275573639,38.914091467,THEFT F/AUTO
-77.0082611251,38.8792863775,THEFT/OTHER
-76.997316125,38.8812715229,ROBBERY
-76.9286429402,38.9026571985,BURGLARY
-76.9949741689,38.8832309303,MOTOR VEHICLE THEFT
-77.0020385991,38.906438329,BURGLARY
-77.0333922392,38.9197464567,THEFT/OTHER
-76.9869156707,38.8841040245,THEFT/OTHER
-77.0319535362,38.9137215462,THEFT/OTHER
-77.0364853732,38.9255188753,THEFT/OTHER
-76.9937555941,38.9215847053,THEFT F/AUTO
-76.9860296578,38.9142137824,ASSAULT W/DANGEROUS WEAPON
-77.0249134546,38.9376069186,THEFT/OTHER
-76.9949767181,38.8819958778,MOTOR VEHICLE THEFT
-76.9652615848,38.8757189535,THEFT/OTHER
-77.0176347386,38.8778666066,ROBBERY
-77.023977695,38.9064446244,THEFT/OTHER
-76.9855122293,38.88347092,ROBBERY
-77.0190496939,38.975288865,MOTOR VEHICLE THEFT
-77.0304623114,38.9461242026,THEFT F/AUTO
-77.0013112806,38.8909368426,THEFT/OTHER
-77.0580749463,38.903893377,THEFT F/AUTO
-77.0189657338,38.9594482424,THEFT F/AUTO
-76.9826084878,38.9012753565,BURGLARY
-77.0507584598,38.9052612799,THEFT/OTHER
-76.936379367,38.8870628574,THEFT F/AUTO
-77.0090637467,38.9031222915,THEFT F/AUTO
-77.0101430904,38.9616869914,MOTOR VEHICLE THEFT
-76.9961695338,38.8977331501,THEFT F/AUTO
-76.9973089592,38.8973360032,THEFT F/AUTO
-77.0319518232,38.9186485641,THEFT/OTHER
-76.9309240057,38.9097399353,THEFT F/AUTO
-76.989621065,38.8452437598,THEFT F/AUTO
-76.9756665177,38.8961128253,MOTOR VEHICLE THEFT
-77.0325902763,38.928171804,THEFT/OTHER
-77.0244212261,38.8795096865,MOTOR VEHICLE THEFT
-77.0256147343,38.974515606,THEFT/OTHER
-77.001404167,38.907539879,THEFT/OTHER
-77.0005714901,38.9046850503,MOTOR VEHICLE THEFT
-76.971562629,38.9204575335,THEFT F/AUTO
-76.9736844792,38.9056231904,THEFT/OTHER
-77.0652645696,38.9073147373,THEFT F/AUTO
-76.9651340569,38.9171372142,THEFT/OTHER
-77.0678258946,38.9048459812,BURGLARY
-77.0628222912,38.9056013366,THEFT/OTHER
-77.016266505,38.9474968389,THEFT/OTHER
-77.0802982386,38.9492466458,THEFT/OTHER
-76.9195172216,38.8938318902,ROBBERY
-76.9958532852,38.8845443413,THEFT/OTHER
-77.0318135912,38.9306002081,THEFT/OTHER
-77.0253783465,38.9413416569,THEFT F/AUTO
-76.9847121853,38.8539607741,MOTOR VEHICLE THEFT
-77.0209124198,38.902520725,THEFT/OTHER
-76.9869131065,38.8898022329,THEFT F/AUTO
-77.014324859,38.9748378665,THEFT/OTHER
-76.924650285,38.9028446705,ROBBERY
-77.0058639965,38.8755585787,MOTOR VEHICLE THEFT
-76.9815533837,38.8465377272,THEFT/OTHER
-77.0242066905,38.9180686673,THEFT/OTHER
-76.9692371871,38.8517469483,THEFT F/AUTO
-77.0265085554,38.8973478904,THEFT/OTHER
-76.9601876145,38.8578130746,THEFT/OTHER
-77.0327298633,38.9295168861,THEFT F/AUTO
-76.9382560148,38.8997285536,THEFT F/AUTO
-77.028136192,38.9596825918,BURGLARY
-76.974824299,38.8986142204,THEFT/OTHER
-76.9976550064,38.9293915457,THEFT F/AUTO
-77.0199006249,38.911864089,THEFT/OTHER
-77.024583415,38.938148387,THEFT/OTHER
-76.9869086226,38.8828390269,BURGLARY
-76.9354963347,38.8992764431,ROBBERY
-77.0724217259,38.9340623694,THEFT/OTHER
-77.0191232037,38.9404477838,THEFT/OTHER
-76.991525909,38.8995540358,MOTOR VEHICLE THEFT
-77.0000435883,38.9191782981,ROBBERY
-76.9784234859,38.8447731896,MOTOR VEHICLE THEFT
-76.9995602624,38.9084803579,MOTOR VEHICLE THEFT
-76.9519658968,38.8913294679,MOTOR VEHICLE THEFT
-77.0270360278,38.909110157,ROBBERY
-76.9590577483,38.9210705313,MOTOR VEHICLE THEFT
-77.0120894422,38.9438705211,THEFT F/AUTO
-77.0318135912,38.9306002081,ASSAULT W/DANGEROUS WEAPON
-77.0327302063,38.933530447,BURGLARY
-76.9977668125,38.9056384741,BURGLARY
-77.0326140595,38.9045261865,BURGLARY
-77.0317991926,38.9352952502,THEFT/OTHER
-76.9783126044,38.9412742972,THEFT F/AUTO
-76.9782054195,38.9194745313,THEFT F/AUTO
-77.0047281092,38.9025152042,THEFT/OTHER
-76.9848950453,38.9077387162,THEFT/OTHER
-77.0219009044,38.9194907264,THEFT/OTHER
-76.95033389,38.8935443043,THEFT/OTHER
-76.9889944955,38.9022407474,THEFT/OTHER
-76.9911175566,38.9340213208,THEFT F/AUTO
-77.0239664272,38.9079088435,THEFT/OTHER
-77.014324859,38.9748378665,THEFT/OTHER
-77.0383334994,38.9271545542,THEFT/OTHER
-77.0675084634,38.9268539778,THEFT F/AUTO
-76.9776880038,38.9202257281,MOTOR VEHICLE THEFT
-76.9973044524,38.9037277932,THEFT/OTHER
-77.0279498335,38.9619795615,THEFT/OTHER
-76.9928783337,38.8320376834,THEFT F/AUTO
-77.0507538756,38.9072441999,THEFT F/AUTO
-76.9995147217,38.8881365046,THEFT F/AUTO
-77.0265352228,38.9817463926,THEFT F/AUTO
-77.0039235267,38.8228407487,THEFT/OTHER
-77.0408755892,38.9238698908,THEFT/OTHER
-77.0640236367,38.9060012859,THEFT F/AUTO
-77.0374942095,38.9140929349,THEFT F/AUTO
-77.0319536026,38.9159286783,THEFT F/AUTO
-76.9976995036,38.9407320957,THEFT/OTHER
-77.0307876495,38.91628428,BURGLARY
-76.9915961302,38.8328853139,BURGLARY
-76.9769499265,38.8972325962,MOTOR VEHICLE THEFT
-77.0416761758,38.9081381756,THEFT F/AUTO
-76.9355193145,38.9103199343,THEFT F/AUTO
-77.014324859,38.9748378665,THEFT/OTHER
-76.991525909,38.8995540358,THEFT F/AUTO
-77.0031071765,38.9525359869,MOTOR VEHICLE THEFT
-77.0307861136,38.9170000824,MOTOR VEHICLE THEFT
-76.9822096037,38.8971210012,THEFT F/AUTO
-77.0251699236,38.9319018165,MOTOR VEHICLE THEFT
-76.9895555913,38.9542002897,THEFT F/AUTO
-76.9953197316,38.8920180311,THEFT/OTHER
-76.9918311415,38.8316298428,ROBBERY
-76.9645846634,38.8515613393,THEFT/OTHER
-77.0376204323,38.9450650863,THEFT F/AUTO
-77.0231621573,38.928581769,MOTOR VEHICLE THEFT
-77.0209122021,38.8998119121,ROBBERY
-77.0410285991,38.9178213775,THEFT/OTHER
-77.0106677549,38.9148228237,ASSAULT W/DANGEROUS WEAPON
-76.987041494,38.926709887,BURGLARY
-77.0516290932,38.9009053589,THEFT/OTHER
-76.9922170856,38.8362412974,MOTOR VEHICLE THEFT
-77.0328557631,38.9567115175,BURGLARY
-77.008216236,38.8755489769,THEFT/OTHER
-76.9555158822,38.8863965351,BURGLARY
-77.0434338096,38.912237953,THEFT F/AUTO
-76.9830910413,38.9237538435,THEFT/OTHER
-76.9563814159,38.8851889275,THEFT F/AUTO
-77.0332543288,38.9083815792,THEFT F/AUTO
-77.0442308541,38.9079031095,THEFT F/AUTO
-76.9885168587,38.9144696197,THEFT F/AUTO
-76.9925041435,38.9493208255,THEFT F/AUTO
-76.952663139,38.9205357239,THEFT F/AUTO
-77.0283169512,38.9482588935,THEFT F/AUTO
-76.9906218037,38.8360739637,ASSAULT W/DANGEROUS WEAPON
-76.9995154485,38.8411356367,THEFT/OTHER
-77.0234568133,38.8998114289,THEFT F/AUTO
-76.9785958146,38.8720198864,THEFT F/AUTO
-77.0308641087,38.9328264152,THEFT/OTHER
-76.9955641693,38.9002038516,THEFT/OTHER
-76.9920863623,38.8989104278,MOTOR VEHICLE THEFT
-77.0288490823,38.8983139331,THEFT/OTHER
-77.031949066,38.9045147494,THEFT F/AUTO
-76.9869086226,38.8828390269,ASSAULT W/DANGEROUS WEAPON
-77.0198952171,38.9705990378,THEFT F/AUTO
-76.9653049356,38.8582696585,THEFT/OTHER
-77.0787458915,38.9487916125,THEFT/OTHER
-77.0400858707,38.9084774459,THEFT F/AUTO
-76.9662125037,38.9201512673,THEFT F/AUTO
-76.9281368887,38.8808134633,THEFT/OTHER
-76.9221826825,38.8870442626,MOTOR VEHICLE THEFT
-77.0874182798,38.9559562158,THEFT F/AUTO
-76.982777829,38.8783908878,THEFT/OTHER
-76.9925041435,38.9493208255,ROBBERY
-77.0416813729,38.9192017629,THEFT/OTHER
-77.0027716813,38.8989152572,BURGLARY
-76.9827155922,38.9164774036,THEFT/OTHER
-76.9735322483,38.8673031308,ROBBERY
-77.0240146556,38.8816454798,THEFT/OTHER
-77.0375258276,38.9025250378,MOTOR VEHICLE THEFT
-77.0628114736,38.9051766277,THEFT F/AUTO
-77.0108574312,38.907236162,THEFT F/AUTO
-76.9943589756,38.8947893234,THEFT F/AUTO
-76.9937555941,38.9215847053,THEFT F/AUTO
-77.0404683792,38.9140925733,MOTOR VEHICLE THEFT
-77.1090380383,38.935738137,MOTOR VEHICLE THEFT
-77.0209122021,38.8998119121,THEFT/OTHER
-77.0398481676,38.9170040097,ROBBERY
-77.0187306853,38.8860392052,MOTOR VEHICLE THEFT
-76.9880095897,38.9201997676,MOTOR VEHICLE THEFT
-77.0219119142,38.9159166696,THEFT/OTHER
-77.0319531449,38.910017227,MOTOR VEHICLE THEFT
-76.9995100647,38.8981227334,THEFT F/AUTO
-76.9741760504,38.9229014677,ASSAULT W/DANGEROUS WEAPON
-76.9902461199,38.8834726857,HOMICIDE
-77.0229499416,38.8819620685,BURGLARY
-76.9984629656,38.846336534,ASSAULT W/DANGEROUS WEAPON
-76.991525909,38.8995540358,ROBBERY
-77.075830218,38.9653437047,BURGLARY
-76.985492061,38.9070678502,MOTOR VEHICLE THEFT
-77.0402405249,38.924288908,MOTOR VEHICLE THEFT
-76.9617373155,38.8698432706,HOMICIDE
-77.0390387886,38.9239152001,MOTOR VEHICLE THEFT
-77.0383334994,38.9271545542,THEFT F/AUTO
-76.9984507995,38.8807004362,THEFT/OTHER
-77.0144378163,38.8746523013,THEFT/OTHER
-76.9635978663,38.8572783103,THEFT F/AUTO
-76.9949765956,38.880275773,THEFT F/AUTO
-77.0690320312,38.9536618602,THEFT F/AUTO
-77.0551884494,38.9093741947,THEFT/OTHER
-77.0697580254,38.9325383429,THEFT F/AUTO
-76.991793607,38.8624144572,THEFT/OTHER
-77.0317883439,38.9316580605,MOTOR VEHICLE THEFT
-76.9774024046,38.866862718,THEFT/OTHER
-77.0240773938,38.8783514588,THEFT F/AUTO
-77.0156767058,38.9025201936,ASSAULT W/DANGEROUS WEAPON
-76.9298964378,38.8966370299,THEFT F/AUTO
-76.9258856077,38.8977598792,THEFT F/AUTO
-77.0318135912,38.9306002081,THEFT F/AUTO
-76.9267794186,38.8965803469,THEFT F/AUTO
-77.0669509602,38.9362902315,THEFT F/AUTO
-76.9639122512,38.8555055907,ROBBERY
-76.9739720394,38.8635345572,ROBBERY
-76.9687403825,38.8751138974,ROBBERY
-76.9800714834,38.9171883705,ROBBERY
-76.9262828718,38.904104178,THEFT/OTHER
-77.031355425,38.9296546396,ROBBERY
-77.0633534895,38.9039730603,THEFT/OTHER
-77.030556742,38.9056474716,ROBBERY
-77.0239672442,38.9144578168,THEFT F/AUTO
-76.9242796308,38.9038739945,THEFT F/AUTO
-76.9776338103,38.929036033,THEFT F/AUTO
-76.9995127822,38.837814953,BURGLARY
-77.0441466713,38.9093648355,THEFT/OTHER
-77.027038834,38.9025223551,THEFT F/AUTO
-77.0398805112,38.945974534,THEFT F/AUTO
-76.981136952,38.8369449248,ROBBERY
-77.0596503545,38.9375250792,THEFT F/AUTO
-76.9645846634,38.8515613393,THEFT/OTHER
-77.0312017061,38.9286365615,ROBBERY
-77.0478518668,38.9164236622,MOTOR VEHICLE THEFT
-76.982777829,38.8783908878,THEFT/OTHER
-77.0297051135,38.9392090053,THEFT/OTHER
-76.9803164745,38.894780054,THEFT/OTHER
-77.002035177,38.9117675751,THEFT/OTHER
-76.9837440154,38.8517078145,THEFT F/AUTO
-76.9900088928,38.8643803084,THEFT/OTHER
-77.0251020575,38.940277387,BURGLARY
-76.927189016,38.894075826,THEFT F/AUTO
-76.9930807068,38.9245104797,THEFT/OTHER
-76.9971570051,38.9209329952,THEFT F/AUTO
-77.0312175115,38.9376054049,THEFT/OTHER
-77.0501035007,38.9062545531,THEFT F/AUTO
-77.0213954626,38.9155704849,THEFT F/AUTO
-77.0272543539,38.9307151352,THEFT F/AUTO
-76.9883102111,38.8927868548,THEFT/OTHER
-77.0254260409,38.9191801261,THEFT/OTHER
-77.0441466713,38.9093648355,THEFT/OTHER
-76.9406696985,38.9047027773,ASSAULT W/DANGEROUS WEAPON
-77.0243693919,38.9264972701,ROBBERY
-77.009097938,38.8765259634,ASSAULT W/DANGEROUS WEAPON
-77.0090637467,38.9031222915,THEFT/OTHER
-77.0288567213,38.8998143637,ROBBERY
-76.9937555941,38.9215847053,THEFT/OTHER
-76.9647798805,38.9345381126,THEFT/OTHER
-76.9321773402,38.8798611701,THEFT/OTHER
-76.927694116,38.8958051161,THEFT/OTHER
-77.0505313184,38.9029557805,THEFT/OTHER
-77.0047281092,38.9025152042,THEFT F/AUTO
-76.9850369807,38.8989073053,THEFT/OTHER
-76.9676370248,38.85947761,ROBBERY
-77.0307861136,38.9170000824,MOTOR VEHICLE THEFT
-76.9389233455,38.9128538903,MOTOR VEHICLE THEFT
-76.9658483927,38.9296740346,MOTOR VEHICLE THEFT
-76.9476475094,38.8966558827,ROBBERY
-76.9738124784,38.8901645994,THEFT F/AUTO
-77.0408108834,38.9200221883,THEFT/OTHER
-77.0398481676,38.9170040097,THEFT/OTHER
-77.0591061997,38.9025669608,THEFT F/AUTO
-77.0319501832,38.9080385449,THEFT F/AUTO
-76.9901172157,38.9050678489,THEFT F/AUTO
-77.0280859186,38.9199423422,THEFT F/AUTO
-76.9955678128,38.8898045034,THEFT F/AUTO
-76.9594761766,38.8689186523,THEFT/OTHER
-77.0611985306,38.9060020792,THEFT F/AUTO
-77.0209238144,38.9118894038,THEFT F/AUTO
-76.9885025712,38.8413409714,MOTOR VEHICLE THEFT
-77.0365299473,38.9071750139,THEFT F/AUTO
-76.9845795199,38.8886722002,THEFT/OTHER
-76.9961396492,38.8468326543,THEFT/OTHER
-76.9780043437,38.9223657154,THEFT F/AUTO
-77.0058688117,38.9425147114,MOTOR VEHICLE THEFT
-76.9687403825,38.8751138974,BURGLARY
-77.0229625853,38.8954649922,THEFT/OTHER
-76.9799376272,38.9015468006,THEFT/OTHER
-77.0047302264,38.8406465745,THEFT/OTHER
-77.0388123361,38.9445357302,THEFT/OTHER
-77.0345909353,38.9318886881,THEFT F/AUTO
-76.9741770324,38.9389787746,THEFT/OTHER
-76.9961679929,38.898520661,THEFT F/AUTO
-76.9673033629,38.9189288774,ROBBERY
-77.0520707839,38.9096463265,THEFT/OTHER
-76.9800776686,38.9206391916,ASSAULT W/DANGEROUS WEAPON
-77.0580805327,38.9348242806,ROBBERY
-77.0348870589,38.9355522769,THEFT/OTHER
-77.0436069637,38.9099274291,ROBBERY
-77.013912434,38.9312267245,THEFT F/AUTO
-76.9837878009,38.846851502,ROBBERY
-77.0553840867,38.9097914587,THEFT F/AUTO
-77.0215713886,38.9585406591,BURGLARY
-77.0288496986,38.9140902542,THEFT F/AUTO
-76.9899432148,38.9191683165,THEFT F/AUTO
-76.9845795199,38.8886722002,THEFT/OTHER
-76.9675340373,38.8600550644,THEFT/OTHER
-76.9803866148,38.8996151246,THEFT/OTHER
-77.0336205034,38.9450634224,MOTOR VEHICLE THEFT
